masa_A
t	x	y
4,554550000E0	6,155307356E0	-3,099356184E1
4,571233333E0	5,842380053E0	-3,159633765E1
4,587916667E0	5,468967633E0	-3,224032803E1
4,604600000E0	5,033035655E0	-3,289785818E1
4,621283333E0	4,504906761E0	-3,355625673E1
4,637966667E0	3,904998874E0	-3,424623796E1
4,654650000E0	3,252827290E0	-3,494803821E1
4,671333333E0	2,510620868E0	-3,563528910E1
4,688016667E0	1,659681246E0	-3,630017899E1
4,704700000E0	7,456322919E-1	-3,693136981E1
4,721383333E0	-2,026239314E-1	-3,750599192E1
4,738066667E0	-1,313608069E0	-3,805215132E1
4,754750000E0	-2,379624480E0	-3,847114133E1
4,771433333E0	-3,567045796E0	-3,886385999E1
4,788116667E0	-4,778189601E0	-3,914229798E1
4,804800000E0	-6,007031026E0	-3,929696336E1
4,821483333E0	-7,264978114E0	-3,938900148E1
4,838166667E0	-8,503542665E0	-3,935482141E1
4,854850000E0	-9,735935827E0	-3,927316563E1
4,871533333E0	-1,093920406E1	-3,905478896E1
4,888216667E0	-1,215022035E1	-3,876285068E1
4,904900000E0	-1,324151704E1	-3,840985833E1
4,921583333E0	-1,429727869E1	-3,796090797E1
4,938266667E0	-1,526448287E1	-3,749798119E1
4,954950000E0	-1,615280186E1	-3,700593904E1
4,971633333E0	-1,699372190E1	-3,643579650E1
4,988316667E0	-1,782000677E1	-3,580989949E1
5,005000000E0	-1,857014279E1	-3,513527236E1
5,021683333E0	-1,923041165E1	-3,446638417E1
5,038366667E0	-1,981940091E1	-3,382381163E1
5,055050000E0	-2,035223412E1	-3,320936583E1
5,071733333E0	-2,080510359E1	-3,258847411E1
5,088416667E0	-2,115072638E1	-3,203134118E1
5,105100000E0	-2,146979644E1	-3,149465098E1
5,121783333E0	-2,177618763E1	-3,099786053E1
5,138466667E0	-2,198548851E1	-3,051813153E1
5,155150000E0	-2,215415225E1	-3,013572102E1
5,171833333E0	-2,230586198E1	-2,979456671E1
5,188516667E0	-2,241357296E1	-2,950826105E1
5,205200000E0	-2,249225679E1	-2,929656425E1
5,221883333E0	-2,252902687E1	-2,915151100E1
5,238566667E0	-2,255469225E1	-2,906287395E1
5,255250000E0	-2,260863141E1	-2,904882266E1
5,271933333E0	-2,256101514E1	-2,907517714E1
5,288616667E0	-2,251190108E1	-2,918319780E1
5,305300000E0	-2,242893034E1	-2,937244320E1
5,321983333E0	-2,233681564E1	-2,960144780E1
5,338666667E0	-2,223701711E1	-2,990356186E1
5,355350000E0	-2,206187234E1	-3,024065208E1
5,372033333E0	-2,186341395E1	-3,063818561E1
5,388716667E0	-2,161870845E1	-3,109105005E1
5,405400000E0	-2,136544368E1	-3,160355203E1
5,422083333E0	-2,102039815E1	-3,214835156E1
5,438766667E0	-2,061141889E1	-3,272623895E1
5,455450000E0	-2,014085527E1	-3,333696762E1
5,472133333E0	-1,960638408E1	-3,397715200E1
5,488816667E0	-1,900496315E1	-3,459861669E1
5,505500000E0	-1,833514100E1	-3,524537527E1
5,522183333E0	-1,762793435E1	-3,591914423E1
5,538866667E0	-1,679801210E1	-3,653245975E1
5,555550000E0	-1,589604261E1	-3,713901844E1
5,572233333E0	-1,492979021E1	-3,765442911E1
5,588916667E0	-1,394583805E1	-3,813261639E1
5,605600000E0	-1,282821591E1	-3,854944889E1
5,622283333E0	-1,171897464E1	-3,891864393E1
5,638966667E0	-1,055163209E1	-3,917892243E1
5,655650000E0	-9,360117172E0	-3,937570421E1
5,672333333E0	-8,138214143E0	-3,944250115E1
5,689016667E0	-6,942445489E0	-3,941772851E1
5,705700000E0	-5,754451285E0	-3,931579898E1
5,722383333E0	-4,593011891E0	-3,913405685E1
